県名,市名,緯度,経度
北海道,札幌市,43.03,141.21
青森県,青森市,40.49,140.44
岩手県,盛岡市,39.42,141.09
宮城県,仙台市,38.16,140.52
秋田県,秋田市,39.43,140.06
山形県,山形市,38.15,140.20
福島県,福島市,37.45,140.28
茨城県,水戸市,36.22,140.28
栃木県,宇都宮市,36.33,139.53
群馬県,前橋市,36.23,139.03
埼玉県,浦和市,35.51,139.38
千葉県,千葉市,35.36,140.06
東京都,東京,35.41,139.45
神奈川県,横浜市,35.26,139.38
新潟県,新潟市,37.55,139.02
富山県,富山市,36.41,137.13
石川県,金沢市,36.33,136.39
福井県,福井市,36.03,136.13
山梨県,甲府市,35.39,138.34
長野県,長野市,36.39,138.11
岐阜県,岐阜市,35.25,136.45
静岡県,静岡市,34.58,138.23
愛知県,名古屋市,35.11,136.54
三重県,津市,34.43,136.30
滋賀県,大津市,35.00,135.52
京都府,京都市,35.00,135.46
大阪府,大阪市,34.41,135.29
兵庫県,神戸市,34.41,135.11
奈良県,奈良市,34.41,135.48
和歌山県,和歌山市,34.14,135.10
鳥取県,鳥取市,35.29,134.13
島根県,松江市,35.27,133.04
岡山県,岡山市,34.39,133.54
広島県,広島市,34.23,132.27
山口県,山口市,34.11,131.27
徳島県,徳島市,34.03,134.32
香川県,高松市,34.20,134.02
愛媛県,松山市,33.50,132.44
高知県,高知市,33.33,133.31
福岡県,福岡市,33.35,130.23
佐賀県,佐賀市,33.16,130.16
長崎県,長崎市,32.45,129.52
熊本県,熊本市,32.48,130.42
大分県,大分市,33.14,131.37
宮崎県,宮崎市,31.56,131.25
鹿児島県,鹿児島市,31.36,130.33
沖縄県,那覇市,26.13,127.41